Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20220211;9;25050;23959,950
20220211;10;25200;24548,700
20220211;11;25350;24644,388
20220211;12;25650;24918,988
20220211;13;25850;25269,213
20220211;14;26000;25253,750
20220211;15;25450;24822,913
20220211;16;25100;24342,575
20220211;17;25350;24215,575
20220211;18;25600;24867,300
20220211;19;25250;24540,475
20220211;20;25250;24412,238
20220211;21;24350;23677,625
20220211;22;23200;22094,175
20220211;23;21550;20574,800
20220211;24;20300;19458,113
20220212;1;19200;18599,938
20220212;2;18400;17995,725
20220212;3;17900;17568,025
20220212;4;17800;17570,300
20220212;5;17950;17710,113
20220212;6;18350;17842,950
20220212;7;19500;18777,525
20220212;8;20350;19532,625
20220212;9;21600;20392,963
20220212;10;22000;20672,450
20220212;11;22200;20267,688
20220212;12;22150;19936,725
20220212;13;22150;19723,938
20220212;14;21850;19565,200
20220212;15;21050;19380,263
20220212;16;20700;19971,625
20220212;17;21350;20701,925
20220212;18;22350;21653,050
20220212;19;22350;21694,675
20220212;20;22300;21523,850
20220212;21;21650;20791,338
20220212;22;20550;19762,688
20220212;23;19450;18770,188
20220212;24;18300;17654,125
20220213;1;16228;16654,788
20220213;2;15705;16032,575
20220213;3;15413;15733,575
20220213;4;15398;15481,163
20220213;5;15403;15487,125
20220213;6;15544;15692,175
20220213;7;15844;15999,175
20220213;8;15939;16108,588
20220213;9;16704;16191,088
20220213;10;16944;16271,450
20220213;11;17381;16344,163
20220213;12;17393;16274,400
20220213;13;17297;16422,813
20220213;14;17285;16772,875
20220213;15;17049;16869,738
20220213;16;17457;17367,238
20220213;17;18018;18239,438
20220213;18;19304;19421,800
20220213;19;19639;20008,663
20220213;20;19662;20229,550
20220213;21;19230;19720,513
20220213;22;18364;18979,888
20220213;23;17740;18332,600
20220213;24;16702;17335,275
20220214;1;16549;16546,688
20220214;2;16213;16180,163
20220214;3;16111;16078,663
20220214;4;16117;16128,563
20220214;5;16583;16502,500
20220214;6;18012;17730,963
20220214;7;20926;20631,363
20220214;8;22678;22289,300
20220214;9;23682;22600,588
20220214;10;22725;22279,225
20220214;11;22071;21566,988
20220214;12;22155;21540,588
20220214;13;22472;21508,725
20220214;14;22714;21736,913
20220214;15;22816;21817,588
20220214;16;22820;22579,925
20220214;17;23108;23121,200
20220214;18;24307;24085,900
20220214;19;24255;24268,925
20220214;20;24189;24144,350
20220214;21;23535;23561,313
20220214;22;22001;22114,750
20220214;23;20681;20671,700
20220214;24;19524;19448,800
20220215;1;19008;18462,913
20220215;2;18300;17888,988
20220215;3;17900;17509,750
20220215;4;17950;17535,088
20220215;5;18400;17884,263
20220215;6;19600;18704,175
20220215;7;22350;21146,700
20220215;8;23700;22661,338
20220215;9;24350;23355,800
20220215;10;24400;23216,150
20220215;11;24350;22679,388
20220215;12;24550;23069,663
20220215;13;24700;23175,388
20220215;14;24750;23528,550
20220215;15;24200;23524,550
20220215;16;24000;23474,163
20220215;17;24350;23602,513
20220215;18;25000;24444,488
20220215;19;24900;24537,988
20220215;20;24800;24322,013
20220215;21;24250;23695,375
20220215;22;22950;22154,063
20220215;23;21350;20652,238
20220215;24;20200;19287,175
20220216;1;18708;18301,575
20220216;2;18000;17752,138
20220216;3;17600;17400,400
20220216;4;17650;17489,700
20220216;5;18200;17776,738
20220216;6;19400;18653,700
20220216;7;22300;20994,413
20220216;8;23500;22553,738
20220216;9;23800;23210,975
20220216;10;23800;23035,900
20220216;11;23550;22456,913
20220216;12;23750;22655,813
20220216;13;24100;22933,438
20220216;14;24150;23146,025
20220216;15;24000;23028,213
20220216;16;23900;23129,275
20220216;17;23950;23332,238
20220216;18;24750;23935,463
20220216;19;24650;23954,763
20220216;20;24600;23853,425
20220216;21;24050;23213,100
20220216;22;22750;21697,975
20220216;23;21150;20133,400
20220216;24;20000;18880,338
20220217;1;18608;17824,150
20220217;2;17900;17248,900
20220217;3;17500;16758,338
20220217;4;17550;16767,413
20220217;5;18250;16908,438
20220217;6;19850;17886,038
20220217;7;22550;20111,400
20220217;8;23850;21700,000
20220217;9;24250;22769,700
20220217;10;24250;23225,388
20220217;11;24300;22984,338
20220217;12;24450;23237,163
20220217;13;24550;23155,625
20220217;14;24750;23273,175
20220217;15;24500;23067,350
20220217;16;24300;23033,138
20220217;17;24500;23142,938
20220217;18;24950;23877,275
20220217;19;24800;23954,300
20220217;20;24750;23808,875
20220217;21;24200;23308,263
20220217;22;22950;21695,350
20220217;23;21250;20258,338
20220217;24;20050;19075,975
20220218;1;18708;18066,688
20220218;2;17950;17414,300
20220218;3;17550;17160,725
20220218;4;17650;17276,750
20220218;5;18250;17574,738
20220218;6;19550;18397,563
20220218;7;22350;20753,625
20220218;8;23650;22262,600
20220218;9;24000;22800,025
20220218;10;24000;22870,438
20220218;11;23800;22801,075
20220218;12;24000;23093,675
20220218;13;24250;23284,975
20220218;14;24500;23178,663
20220218;15;24300;23256,700
20220218;16;24050;23392,850
20220218;17;24150;23364,100
20220218;18;24800;23900,088
20220218;19;24650;23987,100
20220218;20;24650;23805,613
20220218;21;24100;23094,388
20220218;22;22850;21459,188
20220218;23;21150;19936,500
20220218;24;19800;18720,625
20220219;1;18700;17458,038
20220219;2;18000;16852,625
20220219;3;17500;16560,713
20220219;4;17400;16431,525
20220219;5;17500;16356,225
20220219;6;17900;16547,175
20220219;7;18950;17090,613
20220219;8;20000;17612,863
20220219;9;20950;18454,438
20220219;10;21300;19226,325
20220219;11;21350;19579,900
20220219;12;21250;19817,575
20220219;13;21100;19883,000
20220219;14;20950;19646,938
20220219;15;20150;19400,488
20220219;16;20200;19324,775
20220219;17;20800;19288,488
20220219;18;21800;20056,488
20220219;19;21850;20462,075
20220219;20;21750;20406,375
20220219;21;21100;19972,238
20220219;22;20050;18908,450
20220219;23;19000;18055,138
20220219;24;17900;16997,863
20220220;1;16850;16083,350
20220220;2;16200;15470,688
20220220;3;15800;15174,588
20220220;4;15700;14945,025
20220220;5;15700;14977,463
20220220;6;15950;15098,313
20220220;7;16200;15182,813
20220220;8;16700;15636,263
20220220;9;17450;16567,788
20220220;10;18100;17653,650
20220220;11;18450;18561,388
20220220;12;18550;18919,700
20220220;13;18650;19102,950
20220220;14;18750;19168,475
20220220;15;18450;18490,863
20220220;16;18350;18313,613
20220220;17;19100;18264,438
20220220;18;20300;19189,425
20220220;19;20600;19713,988
20220220;20;20600;19702,475
20220220;21;20350;19250,975
20220220;22;19450;18329,888
20220220;23;18700;17614,875
20220220;24;17800;16768,438
20220221;1;16153;16046,238
20220221;2;15743;15623,263
20220221;3;15600;15528,450
20220221;4;15621;15550,813
20220221;5;16074;16024,500
20220221;6;17522;17248,500
20220221;7;20604;19977,113
20220221;8;22485;22006,625
20220221;9;23146;23320,800
20220221;10;23209;23891,963
20220221;11;22951;23825,500
20220221;12;23170;24280,975
20220221;13;23252;24275,625
20220221;14;23322;24272,013
20220221;15;23090;23654,650
20220221;16;23131;23617,800
20220221;17;23233;23726,913
20220221;18;24022;24300,275
20220221;19;24256;24627,675
20220221;20;24135;24518,625
20220221;21;23428;23881,838
20220221;22;21955;22490,913
20220221;23;20520;20911,813
20220221;24;19310;19729,700
20220222;1;19008;18665,475
20220222;2;18300;17977,275
20220222;3;17900;17617,200
20220222;4;17950;17681,913
20220222;5;18500;18053,425
20220222;6;19700;19021,375
20220222;7;22500;21354,400
20220222;8;23700;23031,413
20220222;9;24000;23805,600
20220222;10;24050;24182,350
20220222;11;23850;24248,250
20220222;12;24050;24662,963
20220222;13;24300;24507,138
20220222;14;24350;24294,238
20220222;15;24200;23710,050
20220222;16;24100;23800,588
20220222;17;24150;23853,088
20220222;18;24950;24589,400
20220222;19;24850;24939,500
20220222;20;24800;24776,613
20220222;21;24250;24050,713
20220222;22;22950;22546,050
20220222;23;21350;20966,725
20220222;24;20200;19648,100
20220223;1;19008;18566,650
20220223;2;18300;17981,188
20220223;3;17900;17702,488
20220223;4;17950;17769,200
20220223;5;18500;18113,038
20220223;6;19800;18884,838
20220223;7;22600;21168,188
20220223;8;23800;22883,988
20220223;9;24400;23785,950
20220223;10;24650;24199,413
20220223;11;24650;23700,488
20220223;12;25050;23940,163
20220223;13;25300;23813,313
20220223;14;25300;23926,138
20220223;15;24650;23625,925
20220223;16;24450;23685,313
20220223;17;24450;23926,363
20220223;18;25200;24485,813
20220223;19;25200;24877,863
20220223;20;25200;24847,863
20220223;21;24650;24239,775
20220223;22;23550;22679,613
20220223;23;21850;21213,688
20220223;24;20700;19943,100
20220224;1;19008;18834,400
20220224;2;18300;18193,113
20220224;3;18000;17938,825
20220224;4;18050;17955,338
20220224;5;18600;18389,313
20220224;6;19800;19235,613
20220224;7;22500;21505,188
20220224;8;23600;22736,825
20220224;9;24000;22685,838
20220224;10;24050;22363,350
20220224;11;24050;21834,350
20220224;12;24250;22094,788
20220224;13;24400;22257,238
20220224;14;24400;22580,225
20220224;15;24200;22808,175
20220224;16;23950;23306,163
20220224;17;24050;23461,463
20220224;18;25000;24017,638
20220224;19;25000;24199,075
20220224;20;25000;24167,638
20220224;21;24450;23637,400
20220224;22;23050;22159,325
20220224;23;21350;20688,400
20220224;24;20200;19510,513
20220225;1;18700;18405,613
20220225;2;18100;17862,513
20220225;3;17800;17563,800
20220225;4;17850;17573,950
20220225;5;18550;18041,163
20220225;6;19750;18912,875
20220225;7;22650;21019,900
20220225;8;23800;22730,763
20220225;9;24400;23473,013
20220225;10;24650;23643,813
20220225;11;24700;23505,325
20220225;12;24950;23491,338
20220225;13;25100;23385,375
20220225;14;25350;23410,113
20220225;15;24650;23463,738
20220225;16;24350;23434,413
20220225;17;24400;23620,938
20220225;18;25150;24267,275
20220225;19;25150;24633,725
20220225;20;25150;24393,550
20220225;21;24500;23682,038
20220225;22;23450;22157,388
20220225;23;21650;20770,763
20220225;24;20450;19568,450
20220226;1;19000;18704,525
20220226;2;18200;18042,875
20220226;3;17700;17772,988
20220226;4;17600;17738,150
20220226;5;17650;17818,738
20220226;6;18050;17973,700
20220226;7;18750;18615,213
20220226;8;19800;19481,200
20220226;9;20900;20516,675
20220226;10;21450;21221,650
20220226;11;21750;21645,738
20220226;12;21750;21954,525
20220226;13;21700;21962,863
20220226;14;21450;21836,388
20220226;15;20700;21395,013
20220226;16;20350;21032,200
20220226;17;20650;20932,675
20220226;18;21850;21482,675
20220226;19;21950;21867,000
20220226;20;21900;21560,625
20220226;21;21300;21008,875
20220226;22;20250;19887,825
20220226;23;19200;18790,188
20220226;24;18100;17792,925
20220227;1;17050;16799,038
20220227;2;16350;16203,063
20220227;3;15900;15919,625
20220227;4;15750;15757,175
20220227;5;15750;15811,163
20220227;6;15800;16043,350
20220227;7;15850;16140,375
20220227;8;16550;16500,013
20220227;9;17550;17012,575
20220227;10;18250;17611,138
20220227;11;18450;17868,363
20220227;12;18300;18138,463
20220227;13;18300;18536,925
20220227;14;18350;18976,325
20220227;15;18200;18406,475
20220227;16;18000;18377,438
20220227;17;18300;18717,138
20220227;18;20000;19501,925
20220227;19;20300;20491,763
20220227;20;20300;20694,975
20220227;21;20100;20267,638
20220227;22;19400;19488,213
20220227;23;18550;18724,888
20220227;24;17600;17747,925
20220228;1;16900;16975,500
20220228;2;16450;16711,288
20220228;3;16250;16516,575
20220228;4;16350;16599,900
20220228;5;17000;17109,250
20220228;6;19250;18475,263
20220228;7;21950;21262,988
20220228;8;23250;22960,638
20220228;9;23550;23395,888
20220228;10;23500;23273,788
20220228;11;23200;22662,650
20220228;12;23350;23278,313
20220228;13;23350;23440,450
20220228;14;23650;23535,775
20220228;15;23700;23487,225
20220228;16;23900;23491,500
20220228;17;24250;23802,063
20220228;18;25250;24358,700
20220228;19;25400;25054,600
20220228;20;25300;24941,938
20220228;21;24800;24531,450
20220228;22;23650;22984,713
20220228;23;21900;21559,250
20220228;24;20700;20318,975
